+-----------------------------------------------------------------------------------------+--------------------------------+-------+-------+
| Name                                                                                    | Author                         | Score | Price |
+-----------------------------------------------------------------------------------------+--------------------------------+-------+-------+
| Practice Oriented HTML Crash Course: Learn HTML from the Ground Up                      | Kalob Taulien                  |  5.0  | $9.9  |
| Complete Web Design Course HTML CSS JavaScript jQuery Bootstrap                         | Laurence Svekis                |  5.0  | $9.9  |
| HTML Coding For Beginners Course: Learn HTML in 1 Hour                                  | John Bura                      |  4.3  | $2.9  |
| How to Create a Website Using HTML and CSS: Beginner’s Choice!                          | Abd Alwahab Abdullah           |  5.0  | $9.0  |
| Introducing Coding for Beginners: an HTML and CSS Online Course                         | BitDegree Foundation VSI ©     |  5.0  | Free  |
| Solid foundational HTML, CSS, JavaScript course                                         | Tatiana Minina                 |  4.2  | Free  |
| How to Code a Website: Learn HTML and CSS                                               | Shakzee Arain                  |  2.0  | $9.9  |
| Create Your Own Simple JavaScript Calculator using JS, HTML and CSS                     | Hemendar Singh Rajpurohit      |  5.0  | $19.  |
| Coding for Kids - Introduction to HTML, CSS, and JavaScript!                            | Mammoth Interactive            |  3.7  | $9.9  |
| Introduction to Programming Course: Learn HTML, CSS, Python & More                      | LearnToProgram                 |  4.8  | $10.  |
| Comprehensive HTML5 Tutorial For Beginners: Become Advanced HTML5 Specialist            | LearnToProgram                 |  4.5  | $4.9  |
| Web Development Training: Start Your Career as a Front End Developer                    | Srinivas Vanamala              |  5.0  | $14.  |
| JavaScript Training for Beginners: Learn About JavaScript & jQuery                      | Shakzee Arain                  |  5.0  | $9.9  |
| Cool CSS Tricks for Beginners: Essential Tips on How to Use CSS Code                    | John Bura                      |  4.4  | $4.9  |
| Learn HTML5 Fundamentals and Find Out How HTML5 Pages are Created                       | Ahmed Ibrahim                  |  5.0  | $9.9  |
| Comprehensive Full Stack Web Development Course for Beginners                           | Devslopes by Mark Price        |  4.5  | $9.9  |
| The Complete Front-End Web Development Course!                                          | Joseph Delgadillo              |  5.0  | $9.9  |
| Bootstrap 4 Quick Website Bootstrap Components 2020 Course                              | Laurence Svekis                |  4.8  | Free  |
| Web Scraping Tutorial: How to Scrape a Website with Selenium & Node.JS                  | Jazeb Akram                    |  5.0  | $149  |
| JavaScript Tutorial: Learn JavaScript Just in 1 Hour                                    | John Bura                      |  4.3  | $4.9  |
| Become a PHP Specialist: Up to Date Video PHP Tutorial                                  | LearnToProgram                 |  4.3  | $4.9  |
| Bootstrap Tutorial: Learn to Create Dynamic Websites In a Pinch                         | BitDegree Foundation VSI ©     |  4.2  | $9.9  |
| Bootstrap 4 Tutorial: Easily Learn How to Use Bootstrap 4 Like a Pro                    | Mohamed Hichem Medjdoub        |  5.0  | $9.9  |
| Learn CSS Basics and Start Making Attractive Websites                                   | Shakzee Arain                  |  5.0  | $9.9  |
| Learn jQuery - From Beginner to Advanced                                                | Sandip Bhattacharya            |  5.0  | $9.9  |
| Python Flask Tutorial For Beginners: Build Stunning Websites from Scratch               | Mammoth Interactive            |  5.0  | $9.9  |
| A Comprehensive D3.js Tutorial: Create Data Visualization with D3.js                    | Mammoth Interactive            |  5.0  | $15.  |
| Learn How to Build a website from scratch with HTML5 and CSS3                           | Jazeb Akram                    |  5.0  | $70.  |
| Learn Ruby on Rails and Find Out How to Make Web Applications Quickly                   | LearnToProgram                 |  4.7  | $4.9  |
| PHP: Object Oriented PHP and MySQL with PDO for beginners + Project                     | Macjoe Umanah                  |  3.7  | $15.  |
| Create a React App: React JS Tutorial and Flux Web Dev                                  | Devslopes by Mark Price        |  4.7  | $4.9  |
| E-commerce Website Development Tutorial: Codeigniter E-Commerce System                  | Shakzee Arain                  |  5.0  | $9.9  |
| SVG Tutorial for Beginners: Learn How to Use SVG                                        | Mammoth Interactive            |  5.0  | $13.  |
| A complete TestNG tutorial to learn ninja skills                                        | Let's Kode It Kode It          |  5.0  | $9.9  |
| How to Build an App: Create Messenger App in 1 Day                                      | Eldor Togaymurotov             |  5.0  | $4.9  |
| Learning PHP from Scratch: Start Your Career as a Back-End Developer                    | Srinivas Vanamala              |  5.0  | $14.  |
| Formik Tutorial: No More Tears When Building a React Form                               | Mahmmoud Jbour                 |  5.0  | $9.9  |
| CSS Positions For Beginners                                                             | Norhan Khafaga                 |  5.0  | $9.0  |
| Level Up with Object-oriented PHP and CodeIgniter                                       | Shakzee Arain                  |  5.0  | $14.  |
| Learn Node.js web development getting a full stack of the best tools                    | Eldor Togaymurotov             |  5.0  | $9.9  |
| Create a Twitter Social Network Clone - PHP JavaScript MySQL                            | Aizaz Dinho                    |  5.0  | $10.  |
| Brackets Editor Tools and Resources for web developers                                  | Laurence Svekis                |  5.0  | Free  |
| Affiliate Marketing For Beginners: Ways to Increase Your Income                         | Alex Genadinik                 |  3.9  | $1.9  |
| Python Data Structures Tutorial: Ultimate Guide on Data Science                         | John Bura                      |  4.5  | $21.  |
| Dreamweaver Tutorial for Beginners: Introduction to Web Design                          | LearnToProgram                 |  4.4  | Free  |
| Complete PhoneGap Tutorial: Learn How to Create Mobile Apps                             | LearnToProgram                 |  4.6  | $4.9  |
| A Responsive Web Design Course: Find Out How to Create a Responsive Website             | BitDegree Foundation VSI ©     |  4.6  | $9.9  |
| Learn Blockchain Development: Convert App to Dapp                                       | Masnad Nehith                  |  3.5  | $13.  |
| Bug Bounty Tutorial: The Right Way to Start Your White Hat Hacking Career               | Jitendra Kumar Singh           |  2.0  | $19.  |
| Absolute Guide: Linux Tutorial for Beginners                                            | Jason Cannon                   |  4.5  | Free  |
| Google Tag Manager Tutorial: Learn Digital Analytics                                    | Anil Batra                     |  5.0  | $9.9  |
| The Complete Course on Learning How to Use jQuery and AngularJS                         | Shakzee Arain                  |  5.0  | $9.9  |
| Comprehensive PHP Course: Learn PHP from the Ground Up                                  | Shakzee Arain                  |  5.0  | $13.  |
| Learn Bootstrap to Make Responsive Websites with Ease                                   | Shakzee Arain                  |  5.0  | $9.9  |
