+-----------------------------------------------------------------------------------------+--------------------------------+-------+-------+--------------------------------------------------------------------------------------------------+
| Title                                                                                   | Author                         | Score | Price | Link                                                                                             |
+-----------------------------------------------------------------------------------------+--------------------------------+-------+-------+--------------------------------------------------------------------------------------------------+
| Learn Ruby on Rails and Find Out How to Make Web Applications Quickly                   | LearnToProgram                 | 4.7   | $4.9  | https://www.bitdegree.org/course/learn-ruby-on-rails                                             |
| The Complete Ruby on Rails 6 Web Development Course 2020: Build an Advanced Udemy Clone | Yaroslav Shmarov               | 5.0   | $13.  | https://www.bitdegree.org/course/building-advanced-web-applications-with-ruby-on-rails           |
| Practice Oriented HTML Crash Course: Learn HTML from the Ground Up                      | Kalob Taulien                  | 5.0   | $9.9  | https://www.bitdegree.org/course/html-crash-course                                               |
| Complete Web Design Course HTML CSS JavaScript                                          | Laurence Svekis                | 5.0   | $9.9  | https://www.bitdegree.org/course/complete-web-design-course-html-css-javascript-jquery-bootstrap |
| HTML Coding For Beginners Course: Learn HTML in 1 Hour                                  | John Bura                      | 4.3   | $2.9  | https://www.bitdegree.org/course/coding-for-beginners                                            |
| How to Create a Website Using HTML and CSS: Beginner’s Choice!                          | Abd Alwahab Abdullah           | 5.0   | $9.0  | https://www.bitdegree.org/course/how-to-create-a-website-using-html                              |
| Introducing Coding for Beginners: an HTML and CSS Online Course                         | BitDegree Foundation VSI ©     | 5.0   | Free  | https://www.bitdegree.org/course/coding-for-beginners-space-doggos                               |
| Solid foundational HTML, CSS, JavaScript course                                         | Tatiana Minina                 | 4.2   | Free  | https://www.bitdegree.org/course/html-css-javascript                                             |
| How to Code a Website: Learn HTML and CSS                                               | Shakzee Arain                  | 2.0   | $9.9  | https://www.bitdegree.org/course/how-to-code-a-website                                           |
| Create Your Own Simple JavaScript Calculator using JS, HTML and CSS                     | Hemendar Singh Rajpurohit      | 5.0   | $19.  | https://www.bitdegree.org/course/javascript-calculator                                           |
| Coding for Kids - Introduction to HTML, CSS, and JavaScript!                            | Mammoth Interactive            | 3.7   | $9.9  | https://www.bitdegree.org/course/coding-for-kids                                                 |
| Introduction to Programming Course: Learn HTML, CSS, Python & More                      | LearnToProgram                 | 4.8   | $10.  | https://www.bitdegree.org/course/introduction-to-programming                                     |
| Comprehensive HTML5 Tutorial For Beginners: Become Advanced HTML5 Specialist            | LearnToProgram                 | 4.5   | $2.9  | https://www.bitdegree.org/course/html5-tutorial                                                  |
| Web Development Training: Start Your Career as a Front End Developer                    | Srinivas Vanamala              | 5.0   | $14.  | https://www.bitdegree.org/course/web-development-training                                        |
| JavaScript Training for Beginners: Learn About JavaScript & jQuery                      | Shakzee Arain                  | 5.0   | $9.9  | https://www.bitdegree.org/course/javascript-training                                             |
| Complete Golang Tutorial: From the Basics to Advanced Features                          | Naga Rakesh Chinta             | 1.0   | $9.9  | https://www.bitdegree.org/course/golang-tutorial                                                 |
| Java for Dummies: Learn Java Programming Basics                                         | IT Room                        | 2.3   | $9.9  | https://www.bitdegree.org/course/java-for-dummies                                                |
| Practical Xcode Tutorial: Learn the Basics of Swift and How to Use Xcode IDE            | Mammoth Interactive            | 5.0   | $15.  | https://www.bitdegree.org/course/xcode-tutorial                                                  |
| Learn Selenium Automation                                                               | Vineela Madarapu               | 5.0   | $9.9  | https://www.bitdegree.org/course/learn-selenium                                                  |
| The Complete Regular Expression Tutorial: Turn Your Efficiency Mode On                  | Jazeb Akram                    | 5.0   | $170  | https://www.bitdegree.org/course/regular-expression-tutorial                                     |
| GraphQL tutorial for beginners: learn to builds your own GraphQL API with JavaScript    | Xavier Decuyper                | 5.0   | $9.9  | https://www.bitdegree.org/course/graphql-tutorial                                                |
| Learn PHP Basics in Under 2 Hours                                                       | Ahmed Ibrahim                  | 4.9   | $4.5  | https://www.bitdegree.org/course/php-basics                                                      |
| Automate Everything using Sikuli                                                        | Nitin Tyagi                    | 5.0   | $10.  | https://www.bitdegree.org/course/automate-everything-using-sikuli                                |
| Cool CSS Tricks for Beginners: Essential Tips on How to Use CSS Code                    | John Bura                      | 4.4   | $4.9  | https://www.bitdegree.org/course/css-tricks                                                      |
| Learn HTML5 Fundamentals and Find Out How HTML5 Pages are Created                       | Ahmed Ibrahim                  | 5.0   | $9.9  | https://www.bitdegree.org/course/learn-html5                                                     |
| Comprehensive Full Stack Web Development Course for Beginners                           | Devslopes by Mark Price        | 4.5   | $9.9  | https://www.bitdegree.org/course/full-stack-web-development                                      |
| The Complete Front-End Web Development Course!                                          | Joseph Delgadillo              | 5.0   | $9.9  | https://www.bitdegree.org/course/the-complete-front-end-web-development-course                   |
| Bootstrap 4 Quick Website Bootstrap Components 2020 Course                              | Laurence Svekis                | 4.8   | Free  | https://www.bitdegree.org/course/bootstrap-4-quick-website-bootstrap-components-2020-course      |
| Web Scraping Tutorial: How to Scrape a Website with Selenium & Node.JS                  | Jazeb Akram                    | 5.0   | $149  | https://www.bitdegree.org/course/web-scraping-tutorial                                           |
